0,作品,結婚,人,お金,価値,自分,社会,関係,相手,商品,100万,レイヤー,卒業制作,インターネットオークション,現代美術,ICC,インターネット,ゲーム理論,等価交換,
1,音,振動,耳,身体,存在,音楽,知覚,風船,人,聴覚,聴診器,フリフリ,ベーレント,CD,ディープ・リスニング,SkyArt,ジョン・ケージ,健聴者,,
5,撮影,カメラ,映像,現実,表現,実写,映画,記録,素材,多義性,客観性,アンドレ・バザン,ジョルジュ・メリエス,フレーミング,ドキュメンタリー映画,監視カメラ,ベンヤミン,,,
"6,7",画面,装置,図,ブロック,操作,コンテンツ,臨場,制作,映像,ユーザ,携帯用ゲーム,PC,家庭用ゲーム機,アパートメント,ゲームボーイ,PICNIC,レゴブロック,視野角,ルービックキューブ,
5,空間,装置,撮影,監視,映像,関係,カメラ,鑑賞,表示,表示装置,Heaven's Eye,筐体,タイムスライス,ハーフミラー,監視カメラ,LED,シネマトグラフ,空間情報,インスタレーション,
5,撮影,軌跡,実写,映画,カメラ,即興,作品,数値,移動,GPS,ソフィ・カル,ベンヤミン,監視カメラ,大木裕之,鈴カケ,アピチャッポン・ウィーラセタクン,サイクロプス,24時間,,
"5,6",可動,投影,図,映像,プロジェクタ,角度,コントロール,鏡,実現,光,サーボモータ,マルチプロジェクションシステム,IVRC,IAMAS,キャンピングカー,ムーミのいる部屋,デモンストレーション,,,
1,数列,数値,作曲,演算,音,黄金,音楽,序数,下図,生成,黄金分割,SetTheory,フィボナッチ数列,12音技法,音価,シェーンベルク,擬似乱数,,,
0,回教徒,生,人間,政治,アガンベン,収容,権力,バートルビー,美術,前掲,アウシュヴィッツ,ゾーエー,ミシェル・フーコー,ビオス,プリーモ・レーヴィ,生物学,SS,,,
7,メモ,キー,移動,カーソル,ブレインストーミング,操作,研究,テンキー,Info.wall,マーキング,携帯電話,ImageShot,KJ法,PC,赤外線リモコン,,,,,
6,シーソー,遊び,鏡,身体,遊具,体験,感覚,運動,設置,遊技,バーチャルリアリティ,VR,ロジェ・カイヨワ,イリンクス,ヨハン・ホイジンガ,実空間,ウェブカメラ,仮想空間,回転性めまい,
"2,0",大垣,記憶,校舎,女子,繊維,産業,資料,工場,痕跡,場所,IAMAS,昭和45年,女子高生,サイトスペシフィック,ショッピングセンター,パブリックアート,大垣女子短期大学,記憶術,複合,
5,撮影,映像,身体,手持ち,鑑賞,被写体,知覚,行為,月,表現,アニマシー,静止画,ランドマーク,PointOfView,映像酔い,画角,カメラ付き携帯電話,動画投稿サイト,,
"2,7",図書館,本,分類,本棚,利用,発見,フロア,配列,展示,ゾーニング,メーリングリスト,IAMAS,有機体,大英図書館,バベルの図書館,閉架,執筆依頼,進行方向,,
4,創造,システム,単語,組み合わせ,情報,物語,文脈,関連,構造,人間,ストーリ,ナレッジマネジメント,野中郁次郎,創造的支援,Simpson係数,人工知能,ロナルド・A・フィンケ,人工知能学会,検索エンジン,
0,絵画,モチーフ,ドローイング,映像,芸術,図,運動,制作,表現,定着,マルセル・デュシャン,アンドレ・マッソン,AMELIA,プロジェクション,PianoFase,杉本博司,サイ・トゥオンブリ,抽象絵画,キュビズム,ロラン・バルト
"7,6",インターフェイス,操作,センサ,フリップ,ページ,紙,提案,方法,電子書籍,電子ブックリーダー,静電容量,PETフィルム,インタラクション,導電体,タッチパネル,めくり,圧力センサ,,,
"7,8",絵本,幼児,親,コミュニケーション,シール,デザイン,シルエット,ECHOES,対象,絵,読み聞かせ,色画用紙,WEB,電子書籍,ToyStory,エコーズ,フリードリッヒ・フレーベル,絵本作家,,
1,演奏,音楽,歌手,音,選択,判断,作曲,テンポ,楽譜,能力,即興演奏,オクターヴ,ジョン・ゾーン,四分音符,移動ドのためのエテュード,三輪眞弘,カールハインツ・シュトックハウゼン,,,
"1,4",観光,地域,文化,美濃,旅行,情報,固有,資源,目的,ツーリズム,スマートフォン,読ミアルキ,まちづくり,観光資源,エコツーリズム,アーバンツーリズム,安楽死,ヘリテージツーリズム,,
"6,4",FLOW,Twitter,RSS,タイムライン,SNS,Facebook,タッチパネル,デスクトップ,閲覧,コンテンツ,メディア,ユーザー,インターフェイス,体験,情報,姿勢,モバイル,,,
"2,7",チェーン店,ショッピングモール,首都高速,Wikipedia,ナゴヤセントラルガーデン,ディズニーランド,中央公論新社,中心市街地,街,都市,景観,日本,店舗,道路,名古屋,チェーン店,人々,,,
"1,8",文字,参加,創造,人,形,展示,作品,複数,体験,行動,IAMAS,FONTPARK2.0,TypeisArt,Play,ヨーゼフ・ボイス,中之条ビエンナーレ,共立出版,,,
5,撮影,映像,編集,作品,映画,規則,ショット,観賞,素材,作者,アイコン,24時間,TODAY,ジョナス・メカス,大木裕之,松本俊夫,レイヤー,LIFE IN A DAY 地球上のある一日の物語,,
"1,6",距離,尺度,定位,実験,音源,カテゴリー,頭部伝達関数,音,音像,試験,頭部伝達関数,残響音,聴覚ディスプレイ,音の大きさ,コロナ社,日本音響学会,GPS,因子分析,標準偏差,
"4,5",映像,モンタージュ,編集,映画,フレーム,プログラム,SUNSESSION,数値,静止画,MAX/MSP,フリッカー,TV,,,,,,,,
4,ネットワーク,通信,機器,管理,MACアドレス,接続,IPアドレス,情報,特定,ネットワーク管理,スイッチングハブ,FDB,LAN,PC,SNMP,ネットワーク層,,,,
"4,2",ソフトウェア,コンピュータ,社会,同意,自分,人,作品,信頼,ハンコ,シュリンクラップ契約,アイヒマン,Agree,ニクラス・ルーマン,OS,被雇用者,メディアアート,東浩紀,,,
"4,7",参照,意識,イメージ,空間,平面,境界,視覚,構成,面,身体,2002年,矢萩喜従郎,2004年,相互作用,誠文堂新光社,部分と全体,階層構造,荘周,,
"8,4",システム,レシピ,商品,使用,買い物,バーコード,方法,携帯,電話,情報,携帯電話,スーパーマーケット,JANコード,Recipe,ブラウザ,生鮮食品,Amazon,PC,QRコード,URL
